ecosystem,environment,name,version,dependency_type,source,license_expression,evidence_url,review_status,redistribution,notes
python,backend,requests-oauthlib,2.0.0,transitive,https://pypi.org/simple,ISC,https://pypi.org/project/requests-oauthlib/2.0.0/,approved,retain license and copyright notices,exact PyPI release metadata; classifiers normalized only when unambiguous
python,backend,rich,15.0.0,transitive,https://pypi.org/simple,MIT,https://pypi.org/project/rich/15.0.0/,approved,retain license and copyright notices,exact PyPI release metadata; classifiers normalized only when unambiguous
python,backend,rpds-py,0.30.0,transitive,https://pypi.org/simple,MIT,https://pypi.org/project/rpds-py/0.30.0/,approved,retain license and copyright notices,exact PyPI release metadata; classifiers normalized only when unambiguous
python,backend,safetensors,0.8.0,transitive,https://pypi.org/simple,Apache-2.0,https://pypi.org/project/safetensors/0.8.0/,approved,"retain license, copyright, attribution, and upstream NOTICE when present",exact PyPI release metadata; classifiers normalized only when unambiguous
python,backend,scikit-learn,1.7.2,transitive,https://pypi.org/simple,BSD-3-Clause,https://pypi.org/project/scikit-learn/1.7.2/,approved,retain license and copyright notices,exact PyPI release metadata; classifiers normalized only when unambiguous
python,backend,scipy,1.15.3,transitive,https://pypi.org/simple,BSD-3-Clause,https://pypi.org/project/scipy/1.15.3/,approved,retain license and copyright notices,exact PyPI release metadata; classifiers normalized only when unambiguous
python,backend,sentence-transformers,5.6.1,direct-main,https://pypi.org/simple,Apache-2.0,https://pypi.org/project/sentence-transformers/5.6.1/,approved,"retain license, copyright, attribution, and upstream NOTICE when present",exact PyPI release metadata; classifiers normalized only when unambiguous
python,backend,setuptools,83.0.0,transitive,https://pypi.org/simple,MIT,https://pypi.org/project/setuptools/83.0.0/,approved,retain license and copyright notices,exact PyPI release metadata; classifiers normalized only when unambiguous
python,backend,shellingham,1.5.4,transitive,https://pypi.org/simple,ISC,https://pypi.org/project/shellingham/1.5.4/,approved,retain license and copyright notices,exact PyPI release metadata; classifiers normalized only when unambiguous
python,backend,six,1.17.0,transitive,https://pypi.org/simple,MIT,https://pypi.org/project/six/1.17.0/,approved,retain license and copyright notices,exact PyPI release metadata; classifiers normalized only when unambiguous
python,backend,starlette,1.3.1,transitive,https://pypi.org/simple,BSD-3-Clause,https://pypi.org/project/starlette/1.3.1/,approved,retain license and copyright notices,exact PyPI release metadata; classifiers normalized only when unambiguous
python,backend,sympy,1.14.0,transitive,https://pypi.org/simple,BSD-3-Clause,https://pypi.org/project/sympy/1.14.0/,approved,retain license and copyright notices,exact PyPI release metadata; classifiers normalized only when unambiguous
python,backend,tenacity,9.1.4,transitive,https://pypi.org/simple,Apache-2.0,https://pypi.org/project/tenacity/9.1.4/,approved,"retain license, copyright, attribution, and upstream NOTICE when present",exact PyPI release metadata; classifiers normalized only when unambiguous
python,backend,threadpoolctl,3.6.0,transitive,https://pypi.org/simple,BSD-3-Clause,https://pypi.org/project/threadpoolctl/3.6.0/,approved,retain license and copyright notices,exact PyPI release metadata; classifiers normalized only when unambiguous
python,backend,tokenizers,0.22.2,transitive,https://pypi.org/simple,Apache-2.0,https://pypi.org/project/tokenizers/0.22.2/,approved,"retain license, copyright, attribution, and upstream NOTICE when present",exact PyPI release metadata; classifiers normalized only when unambiguous
python,backend,tomli,2.4.1,transitive,https://pypi.org/simple,MIT,https://pypi.org/project/tomli/2.4.1/,approved,retain license and copyright notices,exact PyPI release metadata; classifiers normalized only when unambiguous
